State,Year,Cases
Pahang,2017,1690
Terengganu,2017,292
Kelantan,2017,2515
Sarawak,2017,952
Sabah,2017,2560
Labuan,2017,91
Perlis,2018,369
Kedah,2018,2190
Pulau Pinang,2018,6071
Perak,2018,2736
Selangor,2018,45349
Putrajaya,2018,7591
Negeri Sembilan,2018,1864
Melaka,2018,722
Johor,2018,5885
Pahang,2018,990
Terengganu,2018,550
Kelantan,2018,1950
Sarawak,2018,823
Sabah,2018,3423
Labuan,2018,102
Perlis,2019,288
Kedah,2019,1587
Pulau Pinang,2019,4119
Perak,2019,3226
Selangor,2019,72543
Putrajaya,2019,15424
Negeri Sembilan,2019,2305
Melaka,2019,2156
Johor,2019,10873
Pahang,2019,2873
Terengganu,2019,542
Kelantan,2019,6003
Sarawak,2019,2648
Sabah,2019,5478
Labuan,2019,36
