TAHUN,KUMPULAN UMUR,State,Cases,Age_Sort_Order,Age_Category
2018,20-24,KELANTAN,218,5,20-39
2018,25-29,KELANTAN,166,6,20-39
2018,30-34,KELANTAN,184,7,20-39
2018,35-39,KELANTAN,116,8,20-39
2018,40-44,KELANTAN,107,9,40-59
2018,45-49,KELANTAN,109,10,40-59
2018,50-54,KELANTAN,92,11,40-59
2018,55-59,KELANTAN,83,12,40-59
2018,60-64,KELANTAN,69,13,>59
2018,65-69,KELANTAN,68,14,>59
2018,70-74,KELANTAN,26,15,>59
2018,>75,KELANTAN,20,16,>59
2019,0-4,KELANTAN,219,1,0-19
2019,5-9,KELANTAN,370,2,0-19
2019,10-14,KELANTAN,638,3,0-19
2019,15-19,KELANTAN,816,4,0-19
2019,20-24,KELANTAN,671,5,20-39
2019,25-29,KELANTAN,616,6,20-39
2019,30-34,KELANTAN,572,7,20-39
2019,35-39,KELANTAN,417,8,20-39
2019,40-44,KELANTAN,310,9,40-59
2019,45-49,KELANTAN,327,10,40-59
2019,50-54,KELANTAN,297,11,40-59
2019,55-59,KELANTAN,267,12,40-59
2019,60-64,KELANTAN,228,13,>59
2019,65-69,KELANTAN,132,14,>59
2019,70-74,KELANTAN,81,15,>59
2019,>75,KELANTAN,42,16,>59
2020,0-4,KELANTAN,145,1,0-19
2020,5-9,KELANTAN,233,2,0-19
2020,10-14,KELANTAN,442,3,0-19
2020,15-19,KELANTAN,549,4,0-19
2020,20-24,KELANTAN,439,5,20-39
2020,25-29,KELANTAN,392,6,20-39
2020,30-34,KELANTAN,343,7,20-39
2020,35-39,KELANTAN,282,8,20-39
2020,40-44,KELANTAN,228,9,40-59
2020,45-49,KELANTAN,172,10,40-59
2020,50-54,KELANTAN,180,11,40-59
2020,55-59,KELANTAN,163,12,40-59
2020,60-64,KELANTAN,156,13,>59
2020,65-69,KELANTAN,74,14,>59
2020,70-74,KELANTAN,59,15,>59
2020,>75,KELANTAN,32,16,>59
2021,0-4,KELANTAN,9,1,0-19
2021,5-9,KELANTAN,9,2,0-19
2021,10-14,KELANTAN,19,3,0-19
2021,15-19,KELANTAN,17,4,0-19
2021,20-24,KELANTAN,33,5,20-39
2021,25-29,KELANTAN,17,6,20-39
2021,30-34,KELANTAN,17,7,20-39
2021,35-39,KELANTAN,16,8,20-39
2021,40-44,KELANTAN,12,9,40-59
2021,45-49,KELANTAN,12,10,40-59
2021,50-54,KELANTAN,13,11,40-59
2021,55-59,KELANTAN,12,12,40-59
2021,60-64,KELANTAN,17,13,>59
2021,65-69,KELANTAN,9,14,>59
2021,70-74,KELANTAN,7,15,>59
2021,>75,KELANTAN,4,16,>59
2018,0-4,MELAKA,25,1,0-19
2018,5-9,MELAKA,35,2,0-19
2018,10-14,MELAKA,46,3,0-19
2018,15-19,MELAKA,74,4,0-19
2018,20-24,MELAKA,101,5,20-39
2018,25-29,MELAKA,76,6,20-39
2018,30-34,MELAKA,80,7,20-39
2018,35-39,MELAKA,54,8,20-39
2018,40-44,MELAKA,43,9,40-59
2018,45-49,MELAKA,46,10,40-59
2018,50-54,MELAKA,40,11,40-59
2018,55-59,MELAKA,33,12,40-59
2018,60-64,MELAKA,29,13,>59
2018,65-69,MELAKA,19,14,>59
2018,70-74,MELAKA,10,15,>59
2018,>75,MELAKA,11,16,>59
2019,0-4,MELAKA,93,1,0-19
2019,5-9,MELAKA,83,2,0-19
2019,10-14,MELAKA,143,3,0-19
2019,15-19,MELAKA,225,4,0-19
2019,20-24,MELAKA,269,5,20-39
2019,25-29,MELAKA,235,6,20-39
2019,30-34,MELAKA,186,7,20-39
2019,35-39,MELAKA,163,8,20-39
2019,40-44,MELAKA,136,9,40-59
2019,45-49,MELAKA,147,10,40-59
2019,50-54,MELAKA,125,11,40-59
2019,55-59,MELAKA,125,12,40-59
2019,60-64,MELAKA,99,13,>59
2019,65-69,MELAKA,59,14,>59
2019,70-74,MELAKA,32,15,>59
2019,>75,MELAKA,36,16,>59
2020,0-4,MELAKA,108,1,0-19
2020,5-9,MELAKA,105,2,0-19
2020,10-14,MELAKA,175,3,0-19
2020,15-19,MELAKA,265,4,0-19
