State,Year,Cases
JOHOR,2015,15743
PAHANG,2015,3001
TERENGGANU,2015,1455
KELANTAN,2015,2850
SARAWAK,2015,1923
SABAH,2015,2904
LABUAN,2015,2
PERLIS,2016,183
KEDAH,2016,994
PULAU PINANG,2016,2576
PERAK,2016,3777
SELANGOR,2016,51652
WPKL/PUTRAJAYA,2016,8663
N.SEMBILAN,2016,2879
MELAKA,2016,2299
JOHOR,2016,10641
PAHANG,2016,3050
TERENGGANU,2016,2009
KELANTAN,2016,6180
SARAWAK,2016,2773
SABAH,2016,3668
LABUAN,2016,13
PERLIS,2017,175
KEDAH,2017,1430
PULAU PINANG,2017,2681
PERAK,2017,5411
SELANGOR,2017,45290
WPKL/PUTRAJAYA,2017,8350
N.SEMBILAN,2017,3055
MELAKA,2017,1425
JOHOR,2017,7932
PAHANG,2017,1690
TERENGGANU,2017,292
KELANTAN,2017,2515
SARAWAK,2017,952
SABAH,2017,2560
LABUAN,2017,91
PERLIS,2018,369
KEDAH,2018,2190
PULAU PINANG,2018,6071
PERAK,2018,2736
SELANGOR,2018,45349
WPKL/PUTRAJAYA,2018,7591
N.SEMBILAN,2018,1864
MELAKA,2018,722
JOHOR,2018,5885
PAHANG,2018,990
TERENGGANU,2018,550
KELANTAN,2018,1950
SARAWAK,2018,823
SABAH,2018,3423
LABUAN,2018,102
PERLIS,2019,288
KEDAH,2019,1587
PULAU PINANG,2019,4119
PERAK,2019,3226
SELANGOR,2019,72543
WPKL/PUTRAJAYA,2019,15424
N.SEMBILAN,2019,2305
MELAKA,2019,2156
JOHOR,2019,10873
PAHANG,2019,2873
TERENGGANU,2019,542
KELANTAN,2019,6003
SARAWAK,2019,2648
SABAH,2019,5478
LABUAN,2019,36
